Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Μαρούλι Κρήτης Τεμάχιο,Vegetables and vegetable products (including fungi),Leaf vegetables,"Lettuce, excluding Iceberg-type lettuce (Lactuca sativa)","Cos or romaine lettuce, raw",A,https://kritis.gr/product/marouli-kritis-temachio/,fresh lettuce; Greek 'marouli' is a cos/romaine type
Ξυλάγγουρα Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Cucumbers (Cucumis sativus),"Cucumber, pulp and peel, raw",B,https://kritis.gr/product/xylangoura-kritis/,"Cretan 'xylangouro' (Cucumis melo var. flexuosus, Armenian cucumber/snake melon) eaten as a cucumber; botanically a melon"
Πατάτες Ελληνικές,Starchy roots and tubers,Potatoes and potatoes products,Main-crop potatoes,"Potato, peeled, raw",A,https://kritis.gr/product/patates-ellinikes/,"fresh table potatoes; SAFAD files potatoes under starchy roots and tubers, not vegetables"
Πράσσα Ελληνικά,Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Leek (Allium porrum),"Leek, raw",A,https://kritis.gr/product/prassa-kritis/,fresh leeks
Ρόκα Κρήτης Σε Φύλλα 100 gr,Vegetables and vegetable products (including fungi),Leaf vegetables,"Rocket, Rucola (Eruca sativa, Diplotaxis spec.)","Roman rocket, raw",A,https://kritis.gr/product/roka-kritis-se-fylla-100-gr/,fresh rocket/arugula leaves
Σαλιγκάρια Κρήτης,"Fish and other seafood (including amphibians, reptiles, snails and insects)","Amphibians, reptiles, snails, insects",Snail (Helix sp.),"Snail in parsley butter, cooked",C,https://kritis.gr/product/saligkaria-kritis/,"live/fresh edible land snails; an animal (not a vegetable) sold on the greengrocer page; WP3 has only prepared-snail archetypes, no raw/live form"
Σπανάκι Baby Ελληνικό 100 gr,Vegetables and vegetable products (including fungi),Leaf vegetables,Spinach (fresh) (Spinacia oleracea),"Spinach, young leaves, raw",A,https://kritis.gr/product/spanaki-baby-elliniko-100-gr/,fresh baby spinach (young leaves — exact archetype)
Τομάτες Α΄ Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Tomatoes (Lycopersicum esculentum),"Tomato, raw",A,https://kritis.gr/product/tomates-a%ce%84-kritis/,"fresh tomatoes, first grade"
Φασόλες Αιχέ-Τσαούλια Κρήτης,"Legumes, nuts and oilseeds","Legumes, beans, green, without pods","Beans, green, without pods (Phaseolus vulgaris)","French bean, raw",B,https://kritis.gr/product/fasoles-aiche-tsaoulia-kritis/,"fresh green beans, Cretan flat-pod landraces (aiché/tsaoulia); species exact (Phaseolus vulgaris), landrace not captured"
Φασόλια Μπαρμπούνια Κρήτης,"Legumes, nuts and oilseeds","Legumes, beans, green, without pods","Beans, green, without pods (Phaseolus vulgaris)","French bean, raw",B,https://kritis.gr/product/fasolia-barbounia-kritis/,"fresh borlotti/cranberry shelling beans (Phaseolus vulgaris); WP3 has no fresh-shelling-bean archetype, mapped to fresh green bean (same species)"
Χόρτα Αλμυρά Ελληνικά,Vegetables and vegetable products (including fungi),Sea weeds,Irish moss (Chondrus crispus),"Glasswort (Salicornia sp.), fresh",B,https://kritis.gr/product/chorta-almyra-ellinika/,Cretan 'salty greens' = glasswort/salicornia (armyra); WP3 files glasswort's archetype under the 'Sea weeds → Irish moss' L3
Τομάτες Βιολογικές Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Tomatoes (Lycopersicum esculentum),"Tomato, raw",A,https://kritis.gr/product/tomates-vio-ellinikes/,organic fresh tomatoes
Τοματίνια Βελανίδια Κρήτης 500 gr,Vegetables and vegetable products (including fungi),Fruiting vegetables,Tomatoes (Lycopersicum esculentum),"Tomato, cherry, raw",A,https://kritis.gr/product/tomatinia-velanidia-kritis-500gr/,cherry/cocktail tomatoes (acorn-shaped 'velanidia')
Αγγουράκια Μικρά Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Cucumbers (Cucumis sativus),"Cucumber, pulp and peel, raw",A,https://kritis.gr/product/angourakia-mikra-kritis/,small fresh cucumbers
Αγγουράκια Βιολογικά Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Cucumbers (Cucumis sativus),"Cucumber, pulp and peel, raw",A,https://kritis.gr/product/angourakia-viol-ka-ellinika/,organic fresh cucumbers
Λάχανο Άσπρο Ελληνικό,Vegetables and vegetable products (including fungi),Brassica vegetables,Head cabbage (Brassica oleracea convar. capitata),"White cabbage, raw",A,https://kritis.gr/product/lachano-aspro-kritis/,fresh white cabbage
Μανιτάρια Πλευρώτους Ελληνικά 500 gr,Vegetables and vegetable products (including fungi),,,,,https://kritis.gr/product/manitaria-plefrot-500gr-kritis/,"oyster mushrooms (Pleurotus ostreatus); WP3 has no cultivated-mushroom archetype (only wild Morel under 'Fungi, wild, edible')"
Μελιτζάνες Φλάσκες Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Aubergines (egg plants) (Solanum melongena),"Eggplant, raw",A,https://kritis.gr/product/melitzanes-flaskes-kritis/,fresh eggplants (flask-shaped variety)
Παντζάρια Ελληνικά,Vegetables and vegetable products (including fungi),Root vegetables,Beetroot (Beta vulgaris subsp. vulgaris),"Beetroot, raw",A,https://kritis.gr/product/patzaria-kritis/,fresh beetroot
Πιπεριές Πράσινες Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,"Peppers, paprika (Capsicum annuum, var. grossum and var. longum)","Sweet pepper, green, raw",A,https://kritis.gr/product/piperies-prasines-kritis/,fresh green sweet peppers
Πιπεριές Φλωρίνης Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,"Peppers, paprika (Capsicum annuum, var. grossum and var. longum)","Sweet pepper, red, raw",A,https://kritis.gr/product/piperies-florinis-kritis/,Florina red sweet peppers
Καλαμπόκι Φρέσκο Κρήτης,Vegetables and vegetable products (including fungi),Fruiting vegetables,Sweet corn (Zea mays var. saccharata),"Sweet corn, on the cob, cooked",B,https://kritis.gr/product/kalaboki-fresko-chyma-kritis/,fresh sweetcorn on the cob; nearest archetype is the cooked cob (no fresh-raw-on-cob archetype)
Σκόρδα Κεφάλι Τεμάχιο Ελληνικά,Vegetables and vegetable products (including fungi),Bulb vegetables,"Garlic, bulb (Allium sativum)","Garlic, fresh",A,https://kritis.gr/product/skorda-kefali-temachio-ellinika/,fresh garlic bulbs (per head)
Κρεμμύδι Φρέσκο Μάτσο Ελληνικό,"Herbs, spices and condiments",Herbs,"Chives, herb (Allium schoenoprasum)","Chive or spring onion, fresh",B,https://kritis.gr/product/kremmydi-fresko-matso-kritis/,fresh spring/salad onion (bunch); WP3 groups spring onion with chives
Άνηθος Μάτσο Κρήτης,"Herbs, spices and condiments",Herbs,"Dill, herb (Anethum graveolens)","Dill, fresh",A,https://kritis.gr/product/anithos-fresko-matso-kritis/,fresh dill (bunch)
Μαϊντανός Μάτσο Ελληνικό,"Herbs, spices and condiments",Herbs,"Parsley, herb (Petroselinum crispum)","Parsley, fresh",A,https://kritis.gr/product/maintanos-fresko-matso-kritis/,fresh parsley (bunch)
Σέλινο Μάτσο Ελληνικό,Vegetables and vegetable products (including fungi),Stem vegetables (Fresh),Celery (Apium graveolens var. dulce),"Celery stalk, raw",B,https://kritis.gr/product/selino-fresko-matso-kritis/,Greek leaf/soup celery (bunch); mapped to celery (Apium graveolens) — stalk-vs-leaf variety not distinguished
Λαχανόκοσμος Σαλάτα Ιταλική Κρήτης 330 gr,Vegetables and vegetable products (including fungi),Leaf vegetables,Leaf vegetables,"Mesclun or salads, mix of baby leaves",B,https://kritis.gr/product/salata-italiki-kritis-330-gr/,packaged 'Italian' mixed salad leaves; mapped to the generic baby-leaf salad mix
