Product name,L1 cat,L2 cat,L3 cat,Archetype,Match reliability,Source URL,Comments
Κοτόπουλο Μαριναρισμένο Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, meat and skin, raw",B,https://kritis.gr/product/kotopoulo-marinarismeno-elliniko/,
Κοτόπουλο Μπιφτέκι Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Poultry, minced meat",B,https://kritis.gr/product/kotopoulo-bifteki-elliniko/,
Κοτόπουλο Μπούτι Μαριναρισμένο,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, leg, meat and skin, raw",B,https://kritis.gr/product/kotopoulo-bouti-marinarismeno/,
Κοτόπουλο Σνίτσελ Πανέ Α/Ο Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, breast, without skin, raw",C,https://kritis.gr/product/kotopoulo-snitsel-pane-a-o-elliniko/,
Κοτόπουλο Σνίτσελ Προψημένο Πανέ,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, breast, without skin, raw",C,https://kritis.gr/product/kotopoulo-snitsel-propsimeno-pane/,
Κοτόπουλο Σουβλάκι Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),Poultry on skewer,B,https://kritis.gr/product/kotopoulo-souvlaki-elliniko/,
Κοτόπουλο Σουβλάκι Ελληνικό Με Πιπεριές,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),Poultry on skewer,B,https://kritis.gr/product/kotopoulo-souvlaki-elliniko-me-piperies/,
Κοτόπουλο Σουβλάκι Μαριναρισμένο Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),Poultry on skewer,B,https://kritis.gr/product/kotopoulo-souvlaki-marinarismeno-elliniko/,
Κοτόπουλο Τηγανιά Μαριναρισμένο Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, breast, without skin, raw",B,https://kritis.gr/product/kotopoulo-tigania-marinarismeno-elliniko/,
Κοτόπουλο Φτερούγες Μαριναρισμένο Ελληνικό,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, wing, meat and skin, raw",B,https://kritis.gr/product/kotopoulo-fterouges-marinarismeno-elliniko/,
Μπιφτέκι Ανάμεικτο Ελληνικό,Meat and meat products (including edible offal),Mixed meat,Mixed beef and pork meat,"Sausage meat, pork and beef, raw",B,https://kritis.gr/product/bifteki-anameikto-elliniko/,
Χοιρίδιο Γάλακτος Ελληνικό,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, roast, raw",C,https://kritis.gr/product/choiridio-galaktos-elliniko/,
Χοιρινό Κοντοσούβλι Ελληνικό,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork on skewer, raw",B,https://kritis.gr/product/choirino-kontosouvli-marinarismeno-elliniko/,
Χοιρινό Κότσι Μ/Ο Μ/Δ Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, knuckle or shank, raw",B,https://kritis.gr/product/choirino-kotsi-m-o-m-d-kritis/,
Χοιρινό Κότσι Μ/Ο Οσομπούκο Μαριναρισμένο Ν. Ελληνικό,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, knuckle or shank, raw",B,https://kritis.gr/product/choirino-kotsi-m-o-osobouko-marinarismeno-n-elliniko/,
Χοιρινό Μπριζόλα Μαριναρισμένο,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, chop, raw",B,https://kritis.gr/product/choirino-brizola-marinarismeno/,
Χοιρινό Πανσέτα Μ/Ο Μ/Δ Ελληνικό,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, belly, raw",B,https://kritis.gr/product/choirino-panseta-m-o-m-d-elliniko/,
Χοιρινό Πανσέτα Μαριναρισμένο,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, belly, raw",B,https://kritis.gr/product/choirino-panseta-marinarismeno/,
Χοιρινό Σνίτσελ Πανέ Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, ham escalope, raw",C,https://kritis.gr/product/choirino-snitsel-pane-elliniko/,
Χοιρινό Συκώτι Ελληνικό,Meat and meat products (including edible offal),"Edible offal, farmed animals",Pork liver,"Liver, pork, raw",A,https://kritis.gr/product/choirino-sykoti-elliniko/,
Χοιρινό Τηγανιά Μαριναρισμένο Ελληνικό,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, raw",B,https://kritis.gr/product/choirino-tigania-marinarismeno-elliniko/,
Χοιρινός Λαιμός Μαριναρισμένος Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, raw",B,https://kritis.gr/product/choirino-laimos-marinarismeno-elliniko/,
Κατσίκι Κρήτης,Meat and meat products (including edible offal),Livestock meat,Goat / kid meat (Capra hircus),"Young goat, raw",B,https://kritis.gr/product/katsiki-kritis/,
Αρνί Κρήτης,Meat and meat products (including edible offal),Livestock meat,Mutton / lamb meat (Ovis aries),"Lamb, leg, raw",C,https://kritis.gr/product/arni-kritis/,
Πρόβατο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Mutton / lamb meat (Ovis aries),"Mutton, meat, raw",B,https://kritis.gr/product/provato-elliniko/,
Γίδα Κρήτης,Meat and meat products (including edible offal),Livestock meat,Goat / kid meat (Capra hircus),"Young goat, raw",C,https://kritis.gr/product/gida-elliniki/,
Χοιρινό Μπουκιές Α/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, raw",B,https://kritis.gr/product/choirino-boukies-a-o-elliniko/,
Χοιρινό Πανσέτα Μ/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, belly, raw",B,https://kritis.gr/product/choirino-panseta-m-o-nop-elliniko/,
Χοιρινό Α/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, raw",B,https://kritis.gr/product/choirino-a-o-kritis/,
Χοιρινό Λαιμός Μ/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, raw",B,https://kritis.gr/product/choirino-laimos-m-o-elliniko/,
Χοιρινό Μπριζόλα Μ/Ο Ν Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, chop, raw",B,https://kritis.gr/product/choirino-brizola-m-o-n-elliniko/,
Χοιρινό Σπάλα Μ/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, shoulder, raw",B,https://kritis.gr/product/choirino-spala-m-o-nopo-elliniko/,
Χοιρινό Κότσι Μ/Ο Οσομπούκο Ν. Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, knuckle or shank, raw",B,https://kritis.gr/product/choirino-kotsi-m-oosoboukon-el/,
Χοιρινό Μηρός Μ/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, way leg, without rind, fat and bone, raw",B,https://kritis.gr/product/choirino-miros-m-o-nopo-elliniko/,
Χοιρινό Ψαρονέφρι Α/Ο Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork tenderloin, lean, raw",A,https://kritis.gr/product/choirino-psaronefri-a-o-elliniko/,
Χοιρινό Σνίτσελ Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork, ham escalope, raw",B,https://kritis.gr/product/choirino-snitsel-nopo-elliniko/,
Χοιρινό Σουβλάκι Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),"Pork on skewer, raw",A,https://kritis.gr/product/choirino-souvlaki-nopo-elliniko/,
Χοιρινό Ρολό Γεμιστό Κρήτης,Meat and meat products (including edible offal),Livestock meat,Pork / piglet meat (Sus scrofa),Rolled escalope of pork with pistachios,B,https://kritis.gr/product/choirino-rolo-nopo-elliniko/,
Φάρμα Αντωνάκη Λουκάνικα Χοιρινά Χωριάτικα,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/loukanika-choir-choriat-far-ant-tk/,
Φάρμα Αντωνάκη Λουκάνικα Ρεθύμνου,Meat and meat products (including edible offal),Sausages,Fresh and lightly cooked sausage,"Toulouse sausage, raw",B,https://kritis.gr/product/loukanika-choir-rethym-farma-an-tk/,
Βόειο Μπιφτέκι,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, minced steak, 15% fat, raw",B,https://kritis.gr/product/voeio-bifteki/,
Βόειο Λάπα Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, thin flank, raw",B,https://kritis.gr/product/voeio-lapa-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Σπάλα Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, shoulder, raw",B,https://kritis.gr/product/voeio-spala-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Κιλότο Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, rump steak, raw",B,https://kritis.gr/product/voeio-kiloto-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Στήθος Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, thin flank, raw",C,https://kritis.gr/product/voeio-stithos-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Στρογγυλό Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, round, raw",B,https://kritis.gr/product/voeio-strongylo-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Νουά Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, round, raw",B,https://kritis.gr/product/voeio-noua-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Ποντίκι Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, knuckle, raw",C,https://kritis.gr/product/voeio-pontiki-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Φιλέτο Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, sirloin steak, raw",C,https://kritis.gr/product/voeio-fileto-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Μπριζόλα Α/Ο Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, steak or beef steak, raw",B,https://kritis.gr/product/voeio-brizola-a-o-e-e-ellinikis-ektrofis-5-minon/,
Βόειο Ν. Οσομπούκο Μ/Ο Ελληνικής Εκτροφής,Meat and meat products (including edible offal),Livestock meat,Beef meat (Bos spp.),"Beef, knuckle, raw",C,https://kritis.gr/product/voeio-n-osobouko-m-o-ellin-ektr/,
Βόειο Συκώτι Ε.Ε. Ελληνικής Εκτροφής > 5 Μηνών,Meat and meat products (including edible offal),"Edible offal, farmed animals",Veal liver,"Liver, young cow, raw",B,https://kritis.gr/product/voeio-sykoti-e-e-ellin-ekt5mhno/,
Κουνέλι Κρήτης,Meat and meat products (including edible offal),Livestock meat,Rabbit meat (Lepus cuniculus),"Rabbit, meat, raw",B,https://kritis.gr/product/kouneli-nopo-ellinikokritis/,
Κοτόπουλο 70% Ν Κρήτης,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, eviscerated without offal, raw",B,https://kritis.gr/product/kotop-lo-70-n-elliniko-kritis/,
Κοτόπουλο Ρολό Γεμιστό Κρήτης,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, breast, without skin, raw",C,https://kritis.gr/product/kotopoulo-rollo-nopo-elliniko/,
Πετεινός 84% Κρήτης,Meat and meat products (including edible offal),Poultry,Chicken meat (Gallus domesticus),"Chicken, eviscerated without offal, raw",B,https://kritis.gr/product/peteinos-84-kritis/,
