id,category_id,name,agb_code,e_climate_change,e_ozone_depletion,e_ionizing_radiation,e_ozone_formation,e_particulate_matter,e_non_carcinogenic_toxicity,e_carcinogenic_toxicity,e_land_water_acidification,e_freshwater_eutrophication,e_marine_eutrophication,e_terrestrial_eutrophication,e_freshwater_ecotoxicity,e_land_use,e_water_use,e_energy_use,e_mineral_use,aw_index,aw_antibio_index,s_child_labour,s_forced_labour,s_fair_salary,s_working_time,s_discrimination,s_health_safety_workers,s_social_benefits_legal_issues,s_workers_rights,s_fair_competition,s_corruption,s_contribution_econ_dev,s_illiteracy,s_health_safety_society,s_indigenous_rights,nutri_score
1f4e2284-7f66-5728-befe-5b3bcebd24a1,a158aa57-5172-5530-bdb1-1a885aa9bd83,"Wine, white, dry",5215,1.50,0.00,0.49,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,22.00,119.00,0.27,26.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
f7ec68d3-e1e4-5d66-9927-048c610b315b,a158aa57-5172-5530-bdb1-1a885aa9bd83,"Wine, white, sweet",1006,1.35,0.00,0.41,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.02,21.00,119.00,0.26,23.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
691c0ddd-0645-569e-81cb-20e3f40e67a2,73bb22f7-0105-5be4-86a0-7b34be672358,Champagne,5207,2.23,0.00,0.59,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,29.00,126.00,0.41,36.50,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
69c044e8-0957-5b03-95c3-99cb9e105c95,73bb22f7-0105-5be4-86a0-7b34be672358,"Wine, white, sparkling",5201,2.14,0.00,0.58,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,28.00,125.00,0.39,35.10,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
408b9ccc-5540-50ea-b8b4-654b4c586369,73bb22f7-0105-5be4-86a0-7b34be672358,"Wine, white, sparkling, flavoured",5209,2.14,0.00,0.58,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,28.00,125.00,0.39,35.10,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
8b4fdb1d-9914-5be4-9797-44e9fea8daf1,1f5379d5-8ccf-53f6-8191-bcb0382a16e5,Cider,5020,1.33,0.00,0.37,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,22.20,22.70,0.76,22.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
21f9536b-0c28-5365-a95d-ad8d428581c1,1f5379d5-8ccf-53f6-8191-bcb0382a16e5,"Cider, dry",5006,1.33,0.00,0.37,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,22.20,22.70,0.76,22.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
77e20d2a-a625-59ea-a4e9-f86f84f779fb,1f5379d5-8ccf-53f6-8191-bcb0382a16e5,"Cider, half-dry",5021,1.33,0.00,0.37,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,22.20,22.70,0.76,22.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
cba7d65d-1353-5b96-ae33-b34f51e96202,1f5379d5-8ccf-53f6-8191-bcb0382a16e5,"Cider, sweet",5007,1.33,0.00,0.37,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,22.20,22.70,0.76,22.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
92a6e3f2-2eca-5fba-99dc-9adc2b437666,1f5379d5-8ccf-53f6-8191-bcb0382a16e5,Flavoured cider,5022,1.33,0.00,0.37,0.01,0.00,0.00,0.00,0.01,0.00,0.00,0.02,22.20,22.70,0.76,22.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
2babd2cb-09c3-5bc6-b4f9-5f6b4fb5065c,155f6e92-22f9-5694-b94d-e842edb7500d,Wine-based aperitif,1007,1.31,0.00,0.38,0.01,0.00,0.00,0.00,0.01,0.00,0.01,0.03,19.40,94.80,0.40,22.20,0.00,0,0,0.09,0.02,0.13,0.02,0.22,0.68,0.12,0.97,0.01,1.24,-0.08,0.04,0.16,0.13,0
d2a6069d-9a3d-5890-a0ad-2380cef403c3,b2ec349d-f6ca-5fea-994d-40f5f8dc5233,"Dairy fat 20% fat, light, spreadable, unsalted",16713,4.55,0.00,0.90,0.01,0.00,0.00,0.00,0.06,0.00,0.01,0.24,55.80,213.00,0.53,32.00,0.00,0.521002227,17.43566085,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
1c0040d9-21a4-5e9a-84ee-c40b060dd317,b2ec349d-f6ca-5fea-994d-40f5f8dc5233,"Dairy fat 25% fat, light, spreadable, unsalted",16712,5.11,0.00,0.87,0.01,0.00,0.00,0.00,0.06,0.00,0.02,0.27,63.30,243.00,0.58,32.10,0.00,0.521002227,17.43566085,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
2db51ce8-da08-55c8-adca-d8190ebc7c0b,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, 60-62% fat, light, lightly salted",16411,7.25,0.00,0.75,0.01,0.00,0.00,0.00,0.09,0.00,0.02,0.40,91.50,358.00,0.80,32.30,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
16f3b445-02fe-5e2d-aeeb-1034f53e1d5a,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, 60-62% fat, light, unsalted",16410,7.28,0.00,0.75,0.01,0.00,0.00,0.00,0.09,0.00,0.02,0.40,92.00,360.00,0.80,32.20,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
80c209ba-ebd0-5719-83ec-fed35124310a,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, 80% fat, lightly salted",16402,7.88,0.00,0.71,0.01,0.00,0.00,0.00,0.10,0.00,0.03,0.44,99.90,392.00,0.86,32.30,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
dd6ad49c-61b6-5c3d-b8df-a255fa7b6b21,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, 80% fat, salted",16403,7.88,0.00,0.71,0.01,0.00,0.00,0.00,0.10,0.00,0.03,0.44,99.90,392.00,0.86,32.30,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
b71fbfa9-bad1-52fc-9de9-d18c257de6d0,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, 82% fat, unsalted",16400,7.94,0.00,0.71,0.01,0.00,0.00,0.00,0.10,0.00,0.03,0.44,101.00,396.00,0.87,32.30,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
bacfe16f-121e-5d01-a983-ef06ec418b84,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, 82% fat, unsalted, easy-to-spread",16404,7.94,0.00,0.71,0.01,0.00,0.00,0.00,0.10,0.00,0.03,0.44,101.00,396.00,0.87,32.30,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
91d81283-26b0-5b90-82b4-ed6c34a393e9,29fa8f63-522b-5020-b2f4-51d79cf91e0a,"Butter, light, 39-41% fat, unsalted",16415,6.29,0.00,0.80,0.01,0.00,0.00,0.00,0.08,0.00,0.02,0.34,78.90,307.00,0.70,32.10,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
7c47aa57-3f60-5841-a227-f3ff44794877,ed8058a5-ae04-5afd-95d8-2222adddb03d,Butter oil or concentrated butter,16401,7.94,0.00,0.71,0.01,0.00,0.00,0.00,0.10,0.00,0.03,0.44,101.00,396.00,0.87,32.20,0.00,0.048129816,9.603974221,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_E
f5684963-1d3b-54bb-8494-f0f64c34efa1,d0027e1c-2900-52a9-af84-3c250adc0266,Chicken fat,16540,2.33,0.00,0.41,0.01,0.00,0.00,0.00,0.04,0.00,0.01,0.15,47.30,77.70,0.74,30.20,0.00,90.48689578,34.71515837,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
6cc9a798-a3dd-5e9e-b340-32449f095c63,ec34156c-d09f-5380-b938-2640e4e96839,Duck fat,16550,2.61,0.00,0.98,0.01,0.00,0.00,0.00,0.03,0.00,0.01,0.14,39.10,78.70,0.75,43.90,0.00,91.23007072,31.54138387,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
4b19bf0a-c38a-5c1b-be34-d851bc5c7246,99ef638a-5546-56c9-a383-89fe2e3e9e37,Goose fat,16560,2.33,0.00,0.41,0.01,0.00,0.00,0.00,0.04,0.00,0.01,0.15,47.30,77.70,0.74,30.20,0.00,91.11310069,64.07851937,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
f636e192-7ccd-5485-b275-4b1aa25b0493,ae3e2521-cb02-5acc-9152-1fbbe55b8eec,Lard or pork fat,16520,2.55,0.00,0.56,0.01,0.00,0.00,0.00,0.03,0.00,0.01,0.10,51.00,78.70,0.67,31.20,0.00,4.448128493,88.32414812,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
6c843778-44c9-5875-87e3-dcf3fa1f08db,ae3e2521-cb02-5acc-9152-1fbbe55b8eec,"Pork fat, raw",16530,2.55,0.00,0.56,0.01,0.00,0.00,0.00,0.03,0.00,0.01,0.10,51.00,78.70,0.67,31.20,0.00,4.448128493,88.32414812,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
28b0ce1b-4e56-5163-bf40-726c6c5c8159,c75dc9a4-dcc3-5cca-bd7b-9e3a714f7a26,Turkey fat,16570,2.33,0.00,0.41,0.01,0.00,0.00,0.00,0.04,0.00,0.01,0.15,47.30,77.70,0.74,30.20,0.00,90.97485117,33.19286871,0.02,0.06,0.41,0.05,0.26,0.80,0.18,1.74,0.01,0.50,-0.12,0.06,0.06,0.13,Nutriscore_D
670f7062-9511-53df-a9a4-61fc78653c9d,96e3955b-2a6e-5be6-b02d-99bb7b75b23f,Cod liver oil,17630,3.05,0.00,0.31,0.02,0.00,0.00,0.00,0.02,0.00,0.01,0.06,23.50,16.80,1.03,43.40,0.00,57.35184079,0,1.07,0.53,3.60,0.10,0.85,1.91,1.20,6.82,0.04,5.96,-0.20,0.67,1.09,0.69,Nutriscore_C
58873419-9709-513b-9225-d97f5958def6,6194ffe2-da0b-519c-b962-5e3f704e45ed,Herring oil,17650,3.05,0.00,0.31,0.02,0.00,0.00,0.00,0.02,0.00,0.01,0.06,23.50,16.80,1.03,43.40,0.00,170.5592054,0,1.07,0.53,3.60,0.10,0.85,1.91,1.20,6.82,0.04,5.96,-0.20,0.67,1.09,0.69,Nutriscore_C
965225db-13c6-59ed-a0d5-bcadd99d2032,6194ffe2-da0b-519c-b962-5e3f704e45ed,Salmon oil,17645,3.05,0.00,0.31,0.02,0.00,0.00,0.00,0.02,0.00,0.01,0.06,23.50,16.80,1.03,43.40,0.00,170.5592054,0,1.07,0.53,3.60,0.10,0.85,1.91,1.20,6.82,0.04,5.96,-0.20,0.67,1.09,0.69,Nutriscore_C
b714efdc-d089-558d-93b8-db12f0e5d697,6194ffe2-da0b-519c-b962-5e3f704e45ed,Sardine oil,17640,3.05,0.00,0.31,0.02,0.00,0.00,0.00,0.02,0.00,0.01,0.06,23.50,16.80,1.03,43.40,0.00,170.5592054,0,1.07,0.53,3.60,0.10,0.85,1.91,1.20,6.82,0.04,5.96,-0.20,0.67,1.09,0.69,Nutriscore_D
08101fc7-dc17-5b51-9fd8-33a486b730d8,0ec3d1f1-9b5a-5b95-9fa6-141aff78c52e,"Blended fat (vegetable and animal origins), 50-63% fat",16743,3.93,0.00,0.39,0.01,0.00,0.00,0.00,0.04,0.00,0.01,0.16,39.90,156.00,0.70,25.80,0.00,0.000453574,0.090507538,0.02,0.03,0.18,0.02,0.12,0.41,0.06,1.08,0.00,0.75,-0.05,0.04,0.04,0.03,Nutriscore_C
cd63650f-5e14-59e7-b43f-2a0eed8d9070,0ec3d1f1-9b5a-5b95-9fa6-141aff78c52e,"Blended fat (vegetable and animal origins), 50-63% fat, lightly salted",16744,3.93,0.00,0.39,0.01,0.00,0.00,0.00,0.04,0.00,0.01,0.16,39.90,156.00,0.70,25.80,0.00,0.000453574,0.090507538,0.02,0.03,0.18,0.02,0.12,0.41,0.06,1.08,0.00,0.75,-0.05,0.04,0.04,0.03,Nutriscore_D
87ba32d3-d582-5660-a545-d08b57116681,0ec3d1f1-9b5a-5b95-9fa6-141aff78c52e,"Blended fat (vegetable and animal origins), spreadable, 30-40% fat",16745,3.43,0.00,0.42,0.01,0.00,0.00,0.00,0.03,0.00,0.01,0.13,33.40,130.00,0.65,25.70,0.00,0.000453574,0.090507538,0.02,0.03,0.18,0.02,0.12,0.41,0.06,1.08,0.00,0.75,-0.05,0.04,0.04,0.03,Nutriscore_D
e9f969a6-4a74-5611-bd5f-c3a09191e4a5,0ec3d1f1-9b5a-5b95-9fa6-141aff78c52e,"Blended fat (vegetable and animal origins), spreadable, 30-40% fat, lightly salted",16746,3.43,0.00,0.42,0.01,0.00,0.00,0.00,0.03,0.00,0.01,0.13,33.30,130.00,0.65,25.70,0.00,0.000453574,0.090507538,0.02,0.03,0.18,0.02,0.12,0.41,0.06,1.08,0.00,0.75,-0.05,0.04,0.04,0.03,Nutriscore_E
